tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
10.95,-0.0144196,0.0481841,2.20662,0.0345574,-0.00984785,0.00625981,-0.0482213,0.14629
11,-0.0154043,0.0484498,2.20657,0.0344334,-0.00990296,0.00629354,-0.0515164,0.147184
11.05,-0.0163766,0.048715,2.20651,0.0343098,-0.00996049,0.0063378,-0.0548306,0.148094
11.1,-0.0173425,0.0489797,2.20647,0.0341894,-0.0100019,0.00639484,-0.0581381,0.149015
11.15,-0.0183086,0.0492439,2.20646,0.0340753,-0.0100112,0.00646642,-0.0614189,0.149948
11.2,-0.0192817,0.0495076,2.20649,0.0339706,-0.00998092,0.00655169,-0.0646611,0.150888
11.25,-0.0202679,0.0497708,2.20657,0.0338787,-0.00990609,0.00664885,-0.0678503,0.151833
11.3,-0.0212724,0.0500336,2.20668,0.0338025,-0.00979233,0.00675361,-0.07098,0.152779
11.35,-0.0222989,0.050296,2.20683,0.0337447,-0.00964525,0.00686033,-0.0740353,0.153725
11.4,-0.0233499,0.0505581,2.20699,0.0337072,-0.00947723,0.00696305,-0.0770008,0.154668
11.45,-0.0244266,0.0508198,2.20717,0.0336909,-0.0093041,0.00705542,-0.0798668,0.155606
11.5,-0.0255287,0.0510811,2.20733,0.0336966,-0.00913835,0.00713166,-0.0826203,0.156538
11.55,-0.0266539,0.0513419,2.20748,0.0337238,-0.0089946,0.00718684,-0.0852363,0.157462
11.6,-0.0277984,0.051602,2.20759,0.0337716,-0.00888583,0.00721793,-0.0877006,0.158381
11.65,-0.0289566,0.0518611,2.20765,0.0338381,-0.00881938,0.00722417,-0.0899945,0.159291
11.7,-0.0301212,0.0521189,2.20768,0.0339208,-0.00879557,0.00720672,-0.0920979,0.160194
11.75,-0.0312843,0.052375,2.20766,0.0340173,-0.00881441,0.00716868,-0.094002,0.161087
11.8,-0.0324369,0.052629,2.20761,0.0341251,-0.00886655,0.00711403,-0.0957096,0.161968
11.85,-0.0335692,0.0528805,2.20753,0.0342411,-0.00894368,0.00704749,-0.0972256,0.162835
11.9,-0.0346706,0.0531292,2.20744,0.0343627,-0.00903217,0.00697334,-0.0985445,0.163684
11.95,-0.0357305,0.0533743,2.20735,0.034487,-0.00911839,0.00689498,-0.0996742,0.164513
12,-0.0367384,0.0536154,2.20728,0.0346118,-0.00918874,0.00681401,-0.100627,0.165316
12.05,-0.0376835,0.053852,2.20724,0.0347352,-0.00922893,0.00673156,-0.101409,0.166093
12.1,-0.0385557,0.0540834,2.20724,0.0348562,-0.00922736,0.00664736,-0.102022,0.166844
12.15,-0.0393446,0.0543093,2.2073,0.0349737,-0.00917441,0.00656108,-0.10246,0.167568
12.2,-0.0400404,0.0545288,2.2074,0.0350875,-0.00906898,0.00647249,-0.102719,0.168265
12.25,-0.0406336,0.0547415,2.20756,0.0351981,-0.00891236,0.0063822,-0.102782,0.168937
12.3,-0.0411152,0.0549467,2.20777,0.0353059,-0.00870665,0.00629219,-0.102632,0.169584
12.35,-0.0414775,0.055144,2.20801,0.0354116,-0.00845827,0.00620533,-0.102257,0.170208
12.4,-0.0417133,0.0553329,2.20829,0.0355167,-0.00817834,0.00612599,-0.101634,0.170809
12.45,-0.0418166,0.0555129,2.20859,0.0356229,-0.00787863,0.00605884,-0.100754,0.171387
12.5,-0.0417822,0.0556837,2.2089,0.0357312,-0.00757253,0.0060083,-0.0995937,0.17194
12.55,-0.041607,0.0558451,2.2092,0.0358419,-0.0072709,0.00597758,-0.0981559,0.172467
12.6,-0.0412893,0.0559968,2.20948,0.0359547,-0.00698928,0.00596756,-0.0964438,0.172965
12.65,-0.0408288,0.0561388,2.20974,0.0360686,-0.00673417,0.00597714,-0.0944598,0.173431
12.7,-0.0402281,0.0562714,2.20996,0.0361823,-0.00651342,0.00600271,-0.092221,0.173864
12.75,-0.0394908,0.0563946,2.21014,0.0362946,-0.00632982,0.00603926,-0.0897366,0.174263
12.8,-0.0386229,0.0565089,2.21029,0.0364034,-0.0061843,0.00608045,-0.0870181,0.174625
12.85,-0.0376322,0.0566145,2.2104,0.0365071,-0.00607047,0.00612061,-0.0840832,0.174951
