tau,mean,std_err
30.7,-0.0111189,0.0432048
30.75,-0.0109801,0.0432381
30.8,-0.0105164,0.0432851
30.85,-0.00979099,0.0433479
30.9,-0.00901598,0.0433502
30.95,-0.00858688,0.0433287
31,-0.00763773,0.0432426
31.05,-0.00641885,0.0431219
31.1,-0.00558445,0.0430582
31.15,-0.00475807,0.0430009
31.2,-0.00391366,0.0428926
31.25,-0.00221527,0.0428349
31.3,-0.000605149,0.0427996
31.35,0.000550996,0.0427687
31.4,0.00176697,0.042708
31.45,0.00336959,0.0426531
31.5,0.0050875,0.0427128
31.55,0.00717578,0.0428032
31.6,0.00895305,0.042899
31.65,0.00984145,0.0428988
31.7,0.0111406,0.0428331
31.75,0.0121922,0.0427463
31.8,0.0126006,0.0426172
31.85,0.0136525,0.0424579
31.9,0.0145224,0.0423978
31.95,0.0151256,0.0424187
32,0.0151231,0.0424816
32.05,0.0154845,0.0425206
32.1,0.0159745,0.0424299
32.15,0.017099,0.0424072
32.2,0.0178784,0.0423807
32.25,0.0189564,0.0423442
32.3,0.0206485,0.0424331
32.35,0.0221741,0.0426057
32.4,0.023504,0.0426994
32.45,0.0255061,0.0427636
32.5,0.0282212,0.0427685
32.55,0.0302896,0.0427826
32.6,0.0326367,0.0428489
32.65,0.0349491,0.0428354
32.7,0.0372861,0.0429609
32.75,0.0396091,0.0431203
32.8,0.0411729,0.0431931
32.85,0.0432838,0.0432285
32.9,0.0451714,0.0432319
32.95,0.0471163,0.0432257
33,0.0489253,0.0432808
33.05,0.0504096,0.0432491
33.1,0.0524355,0.0431855
33.15,0.055129,0.043068
33.2,0.0566991,0.0430599
33.25,0.058107,0.0430754
33.3,0.060003,0.0429829
33.35,0.0622182,0.0429978
33.4,0.0650553,0.0430838
33.45,0.0670232,0.0432561
33.5,0.0688776,0.0434899
33.55,0.0710187,0.043655
33.6,0.0732187,0.0437031
33.65,0.0754743,0.0437182
33.7,0.0778509,0.0435701
33.75,0.0804495,0.0435161
33.8,0.0830811,0.043578
33.85,0.0855603,0.0435536
33.9,0.0885805,0.0434905
33.95,0.091716,0.0435245
34,0.0946263,0.0436802
34.05,0.0973904,0.0439411
34.1,0.0992511,0.0441415
34.15,0.100455,0.0442958
34.2,0.101906,0.0444381
34.25,0.103258,0.0445648
34.3,0.105474,0.0447173
34.35,0.107433,0.0448334
34.4,0.109866,0.0447986
34.45,0.112612,0.0447076
34.5,0.114019,0.0446925
34.55,0.115686,0.0447515
34.6,0.11733,0.0447815
34.65,0.119552,0.0449481
34.7,0.121524,0.0452101
34.75,0.123849,0.0455344
34.8,0.125547,0.0458432
34.85,0.127623,0.0460577
34.9,0.129475,0.0461378
34.95,0.132291,0.0461964
35,0.135251,0.0462384
35.05,0.139138,0.0461687
35.1,0.142928,0.0462132
35.15,0.146666,0.0462475
35.2,0.150685,0.046176
35.25,0.154477,0.0460977
35.3,0.157646,0.0459382
35.35,0.16064,0.0457259
35.4,0.163508,0.0455025
35.45,0.166866,0.0452864
35.5,0.169747,0.0450769
35.55,0.173198,0.044771
35.6,0.177542,0.0444237
35.65,0.181133,0.0441307
35.7,0.184349,0.0438518
35.75,0.188562,0.0434518
35.8,0.192151,0.043087
35.85,0.195955,0.0427388
35.9,0.199938,0.042432
35.95,0.204939,0.0421474
36,0.209659,0.0420174
36.05,0.213812,0.0419844
36.1,0.218588,0.0418027
36.15,0.223064,0.0416371
36.2,0.227951,0.0414738
36.25,0.233226,0.0414546
36.3,0.238436,0.0413482
36.35,0.243077,0.0412665
36.4,0.248201,0.0410952
36.45,0.253676,0.0409553
36.5,0.258503,0.0408349
36.55,0.263914,0.0406775
36.6,0.269366,0.0404676
36.65,0.275206,0.0403961
36.7,0.280675,0.0402765
36.75,0.285521,0.0400234
36.8,0.290376,0.0396585
36.85,0.29544,0.039394
36.9,0.301481,0.0390641
36.95,0.308359,0.0386606
37,0.314925,0.0383614
37.05,0.322033,0.0380601
37.1,0.329402,0.0377152
37.15,0.336916,0.0373712
37.2,0.344587,0.037035
37.25,0.351873,0.0367297
37.3,0.359251,0.036401
37.35,0.366482,0.0361438
37.4,0.374563,0.0359054
37.45,0.383429,0.0357145
37.5,0.392632,0.0355139
37.55,0.401768,0.0353226
37.6,0.411706,0.0351988
37.65,0.422532,0.0350194
37.7,0.433131,0.0349102
37.75,0.443067,0.0346211
37.8,0.453151,0.0344304
37.85,0.464182,0.0342205
37.9,0.474497,0.034024
37.95,0.484365,0.0337252
38,0.494114,0.0333343
38.05,0.504632,0.0329961
38.1,0.516609,0.0326947
38.15,0.528557,0.0323511
38.2,0.541148,0.0320098
38.25,0.553692,0.031701
38.3,0.566783,0.0313948
38.35,0.580054,0.0311255
38.4,0.593888,0.0307983
38.45,0.608743,0.0304915
38.5,0.623991,0.0301654
38.55,0.639904,0.0299244
38.6,0.656061,0.0296257
38.65,0.672601,0.029202
38.7,0.689288,0.0288401
38.75,0.706544,0.028448
38.8,0.724319,0.0280714
38.85,0.741233,0.0277093
38.9,0.759033,0.0273767
38.95,0.778122,0.0269711
39,0.797272,0.0265333
39.05,0.817305,0.0261915
39.1,0.837881,0.0257541
39.15,0.858843,0.0252969
39.2,0.881007,0.0249057
39.25,0.904054,0.0245501
39.3,0.926492,0.0240728
39.35,0.949269,0.0236397
39.4,0.973144,0.023061
39.45,0.997739,0.0224527
39.5,1.0234,0.0219151
39.55,1.05057,0.0213506
39.6,1.07839,0.0208044
39.65,1.10725,0.0203366
39.7,1.13787,0.0198523
39.75,1.17003,0.0193692
39.8,1.20374,0.0188668
39.85,1.23942,0.0184943
39.9,1.27803,0.0182652
39.95,1.3201,0.0181563
