source,trial,sep
mc,62,0.8184
mc,62,1.29019
mc,62,0.46507
mc,62,2.71844
mc,63,4.40437
mc,63,0.463476
mc,63,0.121568
mc,63,8.07318
mc,63,3.48105
mc,63,0.292087
mc,63,0.362409
mc,63,2.32318
mc,63,0.439988
mc,63,0.918233
mc,63,4.08263
mc,63,0.152564
mc,63,11.3908
mc,63,2.14317
mc,63,0.101187
mc,63,1.25014
mc,64,3.17569
mc,64,0.0921124
mc,64,5.88009
mc,64,3.99726
mc,64,6.32118
mc,64,0.0331548
mc,64,3.28795
mc,64,4.93214
mc,64,1.61583
mc,64,0.0156447
mc,64,0.487404
mc,64,0.0568585
mc,64,0.00857212
mc,64,2.85262
mc,64,0.0710541
mc,64,1.34339
mc,64,0.355034
mc,64,5.47402
mc,65,1.81
mc,65,6.83428
mc,65,3.07676
mc,65,1.36367
mc,65,0.390976
mc,65,0.299344
mc,65,0.277476
mc,65,0.264212
mc,65,0.246385
mc,65,2.1826
mc,65,1.62702
mc,65,0.30553
mc,65,0.307899
mc,65,0.00139432
