tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
36.7,0.264439,0.0673002,3.30994,0.00250832,-0.00296088,0.00251465,1.02685,0.25287
36.75,0.276769,0.0665575,3.31,0.00250451,-0.00290069,0.00251107,1.07346,0.249934
36.8,0.289202,0.0658151,3.31011,0.00251391,-0.00278601,0.00252058,1.12093,0.24699
36.85,0.302125,0.065011,3.31029,0.00253669,-0.00261166,0.00254347,1.1708,0.243812
36.9,0.315147,0.0642037,3.31052,0.00257227,-0.00237447,0.00257928,1.22158,0.240618
36.95,0.328275,0.0633922,3.31082,0.00261931,-0.00207371,0.00262678,1.2733,0.237403
37,0.341324,0.0625497,3.31119,0.00267589,-0.0017114,0.00268415,1.32519,0.234057
37.05,0.354319,0.0616746,3.31161,0.00273987,-0.00129258,0.0027493,1.37736,0.230578
37.1,0.367471,0.0607902,3.31207,0.00280921,-0.000825409,0.00282022,1.43047,0.227044
37.15,0.381002,0.0597615,3.31258,0.00288224,-0.000321278,0.0028952,1.48526,0.22295
37.2,0.394744,0.0587175,3.3131,0.0029576,0.000205298,0.00297281,1.54093,0.218792
37.25,0.408726,0.0576562,3.31364,0.00303408,0.000736861,0.00305176,1.59741,0.214576
37.3,0.423076,0.0565665,3.31415,0.00311028,0.00125341,0.0031305,1.65529,0.210323
37.35,0.437745,0.0554586,3.31463,0.00318424,0.00173302,0.00320696,1.71393,0.20603
37.4,0.452954,0.0543071,3.31505,0.00325327,0.00215286,0.00327834,1.77403,0.201607
37.45,0.468721,0.0530996,3.31539,0.00331398,0.00249032,0.00334114,1.83557,0.197
37.5,0.48506,0.0518359,3.31562,0.00336255,0.00272462,0.00339145,1.89859,0.192192
37.55,0.502142,0.050542,3.31574,0.00339521,0.00283834,0.00342544,1.96367,0.187258
37.6,0.519796,0.0492689,3.31572,0.00340876,0.00281899,0.00343987,2.03045,0.182406
37.65,0.53822,0.0479808,3.31556,0.0034011,0.00266027,0.00343259,2.09995,0.177518
37.7,0.557214,0.0466711,3.31526,0.00337152,0.00236291,0.00340286,2.17166,0.172584
37.75,0.577346,0.0452361,3.31483,0.00332084,0.00193485,0.00335144,2.24788,0.167213
37.8,0.598017,0.043824,3.31429,0.00325132,0.00139075,0.00328052,2.32642,0.161966
