tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
9.7,-0.0111987,0.0435435,-0.00251996,0.0131337,0.0479449,0.209048
9.75,-0.0101398,0.0436544,-0.000376177,0.012563,0.0551252,0.208498
9.8,-0.00853303,0.0436994,0.00316905,0.0120185,0.0867051,0.206337
9.85,-0.00784069,0.0437277,0.00530155,0.0116231,0.0911384,0.204567
9.9,-0.00696651,0.0437142,0.00752179,0.0113305,0.0945246,0.203192
9.95,-0.00632532,0.0438223,0.00770255,0.0110843,0.0976533,0.203856
10,-0.00598967,0.043825,0.00952857,0.0109869,0.101688,0.203689
10.05,-0.00594335,0.0438181,0.00785167,0.0111379,0.0983957,0.200413
10.1,-0.00633207,0.0437812,0.00555848,0.0116256,0.0797538,0.197531
10.15,-0.00676388,0.0437719,0.00390445,0.0119863,0.0559133,0.194974
10.2,-0.00682308,0.0436773,0.00128246,0.012848,0.0444667,0.190642
10.25,-0.00703345,0.0435008,-0.00213068,0.0133067,0.0410346,0.187309
10.3,-0.00761596,0.0432621,-0.00493123,0.0135575,0.0287973,0.184431
10.35,-0.00812788,0.0431093,-0.00761808,0.0132761,0.00936751,0.184268
10.4,-0.00901793,0.0429518,-0.00906566,0.0131917,-0.00938872,0.18358
10.45,-0.0103312,0.0428688,-0.0112976,0.0135133,-0.0299583,0.183046
10.5,-0.0113178,0.0428024,-0.00966426,0.0137771,-0.0360962,0.183074
10.55,-0.0112323,0.0427649,-0.00653227,0.013872,-0.0249122,0.18307
10.6,-0.0112652,0.0427288,-0.0104523,0.0132466,-0.0328129,0.182061
10.65,-0.011245,0.0427743,-0.0131455,0.0132214,-0.0399179,0.18377
10.7,-0.0119221,0.0427455,-0.0129281,0.0129713,-0.0429609,0.18343
10.75,-0.0121699,0.0426631,-0.00938366,0.012184,-0.0413205,0.181988
10.8,-0.012428,0.0426002,-0.0103026,0.0120975,-0.0626678,0.180938
10.85,-0.012721,0.0426211,-0.0115698,0.0123438,-0.0703831,0.180898
10.9,-0.0125385,0.0426063,-0.0123887,0.0120887,-0.072111,0.180474
10.95,-0.0121929,0.0426696,-0.0123099,0.0116907,-0.0641444,0.181945
11,-0.0113725,0.0426757,-0.0100866,0.0114342,-0.0382667,0.183656
11.05,-0.0105845,0.0426889,-0.00775535,0.0114477,-0.0239393,0.183141
11.1,-0.00881038,0.0427547,-0.00661692,0.01109,0.00229624,0.179653
11.15,-0.00766327,0.0428208,-0.00651304,0.0104796,0.0212784,0.179921
11.2,-0.00679301,0.0430111,-0.00211784,0.010428,0.0325294,0.181654
11.25,-0.00602924,0.0431362,-0.00359534,0.0101634,0.0335924,0.184015
11.3,-0.00486637,0.0432211,-0.00528021,0.00969128,0.0298916,0.183677
11.35,-0.00386244,0.0432393,-0.00741452,0.0100004,0.0324269,0.184023
11.4,-0.00313557,0.0431634,-0.00700537,0.0102233,0.0237297,0.183719
11.45,-0.00274631,0.0429673,-0.0100749,0.010368,0.0273819,0.181488
11.5,-0.00191595,0.0428328,-0.0123148,0.0113342,0.043813,0.182365
11.55,-0.000632106,0.0426577,-0.0163926,0.0117941,0.0530789,0.182888
11.6,0.000791611,0.0425531,-0.0197038,0.0123885,0.0688478,0.182136
11.65,0.0013808,0.0425835,-0.0207645,0.0125085,0.0817433,0.182528
11.7,0.0018066,0.0426167,-0.0229348,0.012725,0.0850019,0.184157
11.75,0.00259782,0.0427171,-0.0268137,0.0127362,0.0935512,0.18479
11.8,0.00302239,0.0428699,-0.0306648,0.0126497,0.102168,0.183886
11.85,0.00336022,0.0428911,-0.0329961,0.0128751,0.104413,0.180252
11.9,0.00333684,0.0430604,-0.032869,0.0127113,0.10202,0.180369
11.95,0.00337504,0.0431312,-0.0339021,0.0126108,0.124152,0.180598
12,0.00313785,0.0431079,-0.0317656,0.0126993,0.125996,0.179967
12.05,0.00289383,0.0430834,-0.0329384,0.0125986,0.137801,0.17856
12.1,0.00212631,0.043108,-0.0351948,0.0126271,0.130305,0.179656
12.15,0.0010899,0.0431328,-0.0398052,0.0128552,0.102035,0.179101
12.2,0.000175591,0.0431926,-0.0422871,0.0128516,0.0895041,0.180552
12.25,-0.000816684,0.0432842,-0.042546,0.0128002,0.0706557,0.182436
12.3,-0.000638849,0.0433826,-0.0411001,0.0124039,0.0770652,0.184981
12.35,-0.000892092,0.0435096,-0.0417847,0.0119607,0.0849832,0.184899
12.4,-0.00143631,0.04352,-0.0408525,0.0120346,0.0732303,0.185598
12.45,-0.00138503,0.0435453,-0.0408913,0.0121626,0.05605,0.183001
12.5,-0.00122103,0.0435978,-0.0388747,0.0123311,0.0366532,0.182794
12.55,-0.00106029,0.0437121,-0.0356796,0.0128457,0.0331269,0.185634
12.6,-0.000540591,0.0438551,-0.0340325,0.0130388,0.0368104,0.188385
12.65,-0.00056366,0.043921,-0.0316557,0.0131958,0.0265123,0.191997
12.7,-0.000430065,0.0439721,-0.0310087,0.0139907,0.0111,0.194018
12.75,0.000629035,0.0439777,-0.027199,0.0141306,0.0130649,0.1937
12.8,0.00171323,0.0439708,-0.0215702,0.0141183,0.0127647,0.192193
12.85,0.002658,0.0439867,-0.0198582,0.0137987,0.0167532,0.192313
12.9,0.00418554,0.0439944,-0.0162837,0.0135432,0.0290114,0.193306
12.95,0.00494815,0.0439803,-0.0123038,0.013163,0.0357728,0.195608
13,0.0059695,0.0440687,-0.00910035,0.0126314,0.0633939,0.19584
13.05,0.00666841,0.0441411,-0.00729797,0.0121486,0.0669221,0.196599
13.1,0.00662223,0.0441434,-0.0077673,0.0120943,0.0648584,0.19687
13.15,0.00601576,0.0441381,-0.00930631,0.0119344,0.0588174,0.195011
13.2,0.00487696,0.0442277,-0.00951264,0.0120102,0.0510758,0.195672
13.25,0.00370421,0.0443287,-0.00601198,0.0128189,0.0240847,0.19772
13.3,0.00345242,0.0445384,-0.00320863,0.0133616,0.0186053,0.202225
13.35,0.00306661,0.044666,3.71331e-05,0.0137376,0.0221154,0.205691
13.4,0.00350935,0.0447294,-0.00175706,0.0133466,0.0197853,0.205449
13.45,0.00372103,0.0447003,-0.00418979,0.0130327,0.0334527,0.205669
13.5,0.00316306,0.0446177,-0.00476508,0.0125934,0.0335563,0.203287
13.55,0.00268205,0.044484,-0.00745465,0.0123042,0.0258247,0.202066
13.6,0.00233721,0.0443433,-0.0120213,0.0119198,0.0115405,0.200558
13.65,0.0019157,0.0442034,-0.0158267,0.0113108,0.00538846,0.198101
