conf,kind,k,tau
46,1,7,29.5227
46,1,8,31.7988
46,1,9,32.5379
46,-1,0,6.7492
46,-1,1,7.35675
46,-1,2,11.6601
46,-1,3,28.8651
46,-1,4,29.8513
46,-1,5,35.3807
46,-1,6,38.3709
46,-1,7,39.7606
47,1,0,0.987048
47,1,1,5.37368
47,1,2,6.42629
47,1,3,12.9566
47,1,4,18.4401
47,1,5,23.6779
47,1,6,26.2298
47,1,7,29.5227
47,1,8,31.7988
47,1,9,32.5379
47,-1,0,6.7492
47,-1,1,7.35675
47,-1,2,11.6601
47,-1,3,28.8651
47,-1,4,29.8513
47,-1,5,35.3807
47,-1,6,38.3709
47,-1,7,39.7606
48,1,0,0.987048
48,1,1,5.37368
48,1,2,6.42629
48,1,3,12.9566
48,1,4,18.4401
48,1,5,23.6779
48,1,6,26.2298
48,1,7,29.5227
48,1,8,31.7988
48,1,9,32.5379
48,-1,0,6.7492
48,-1,1,7.35675
48,-1,2,11.6601
48,-1,3,28.8651
48,-1,4,29.8513
48,-1,5,35.3807
48,-1,6,38.3709
48,-1,7,39.7606
49,1,0,0.987048
49,1,1,5.37368
49,1,2,6.42629
49,1,3,12.9566
49,1,4,18.4401
49,1,5,23.6779
49,1,6,26.2298
49,1,7,29.5227
49,1,8,31.7988
49,1,9,32.5379
49,-1,0,6.7492
49,-1,1,7.45872
49,-1,2,11.6601
49,-1,3,28.8651
49,-1,4,29.8513
49,-1,5,35.3807
49,-1,6,38.3709
49,-1,7,39.7606
50,1,0,0.987048
50,1,1,5.39752
50,1,2,6.42629
50,1,3,12.9566
50,1,4,18.4401
50,1,5,23.6779
50,1,6,26.2298
50,1,7,29.5227
50,1,8,31.7988
50,1,9,32.5379
50,-1,0,6.7492
50,-1,1,7.45872
50,-1,2,11.6601
50,-1,3,28.8651
50,-1,4,29.8513
50,-1,5,35.3807
50,-1,6,38.3709
50,-1,7,39.7606
51,1,0,0.987048
51,1,1,5.39752
51,1,2,6.42629
51,1,3,12.9566
51,1,4,18.4401
51,1,5,23.6779
51,1,6,26.2298
51,1,7,29.5227
51,1,8,31.7988
