tau,mean,std_err
29.3,-0.00911041,0.046861
29.35,-0.00794803,0.0466021
29.4,-0.0067503,0.0463475
29.45,-0.0055197,0.0460987
29.5,-0.0042592,0.0458571
29.55,-0.00297483,0.0456242
29.6,-0.00167257,0.0454016
29.65,-0.00035985,0.0451909
29.7,0.000955852,0.0449934
29.75,0.00226712,0.0448105
29.8,0.00356593,0.0446433
29.85,0.00484472,0.0444929
29.9,0.00609646,0.0443601
29.95,0.00731523,0.0442457
30,0.00849657,0.0441504
30.05,0.00963677,0.0440745
30.1,0.0107333,0.0440185
30.15,0.0117856,0.0439827
30.2,0.0127946,0.0439671
30.25,0.0137626,0.043972
30.3,0.0146932,0.0439973
30.35,0.0155908,0.0440428
30.4,0.0164602,0.0441082
30.45,0.0173071,0.0441928
30.5,0.0181367,0.044296
30.55,0.0189534,0.0444167
30.6,0.0197614,0.0445538
30.65,0.0205633,0.0447059
30.7,0.0213617,0.0448714
30.75,0.0221578,0.0450487
30.8,0.0229522,0.045236
30.85,0.0237448,0.0454316
30.9,0.024535,0.0456336
30.95,0.0253223,0.0458405
31,0.0261069,0.0460503
31.05,0.0268902,0.0462615
31.1,0.0276736,0.0464728
31.15,0.0284591,0.0466827
31.2,0.0292499,0.0468901
31.25,0.030051,0.0470943
31.3,0.0308682,0.0472946
31.35,0.031707,0.0474907
31.4,0.032574,0.0476823
31.45,0.0334757,0.0478698
31.5,0.034419,0.0480535
31.55,0.0354099,0.0482342
31.6,0.0364542,0.0484126
31.65,0.0375564,0.0485895
31.7,0.0387199,0.0487661
31.75,0.0399472,0.0489434
31.8,0.0412392,0.0491221
31.85,0.0425948,0.0493033
31.9,0.0440123,0.0494875
31.95,0.0454888,0.0496754
32,0.0470198,0.0498672
32.05,0.0485999,0.050063
32.1,0.0502234,0.0502624
32.15,0.0518834,0.050465
32.2,0.0535729,0.0506701
32.25,0.0552846,0.0508767
32.3,0.0570111,0.0510836
32.35,0.0587449,0.0512894
32.4,0.0604782,0.0514925
32.45,0.0622036,0.0516913
32.5,0.0639133,0.0518839
32.55,0.0656019,0.0520685
32.6,0.0672633,0.0522433
32.65,0.0688925,0.0524065
32.7,0.0704849,0.0525564
32.75,0.0720374,0.0526913
32.8,0.073548,0.0528099
32.85,0.0750149,0.0529108
32.9,0.0764382,0.0529932
32.95,0.0778197,0.0530563
33,0.0791613,0.0530998
33.05,0.0804671,0.0531232
33.1,0.0817412,0.053127
33.15,0.0829901,0.0531115
33.2,0.0842186,0.0530772
33.25,0.0854332,0.0530251
33.3,0.0866388,0.052956
33.35,0.0878412,0.0528711
33.4,0.0890449,0.0527717
33.45,0.0902533,0.0526591
33.5,0.0914693,0.0525347
33.55,0.0926946,0.0523998
33.6,0.0939292,0.052256
33.65,0.0951733,0.0521048
33.7,0.0964258,0.0519478
33.75,0.0976856,0.0517867
33.8,0.0989514,0.0516234
33.85,0.100222,0.0514595
33.9,0.101496,0.0512969
33.95,0.102774,0.0511372
34,0.104057,0.0509822
34.05,0.105345,0.0508335
34.1,0.106642,0.0506926
34.15,0.107952,0.050561
34.2,0.109278,0.0504396
34.25,0.110626,0.0503292
34.3,0.112001,0.0502305
34.35,0.113411,0.0501438
34.4,0.114862,0.050069
34.45,0.116362,0.0500059
34.5,0.117921,0.0499543
34.55,0.119547,0.0499136
34.6,0.121249,0.0498833
34.65,0.123039,0.0498627
34.7,0.124925,0.0498512
34.75,0.126918,0.0498482
34.8,0.12903,0.0498531
34.85,0.131269,0.0498652
34.9,0.133647,0.0498842
34.95,0.136173,0.0499097
35,0.138857,0.0499411
35.05,0.141707,0.0499781
35.1,0.14473,0.0500205
35.15,0.147932,0.0500682
35.2,0.151317,0.050121
35.25,0.154888,0.0501791
35.3,0.158647,0.0502424
35.35,0.162591,0.0503111
35.4,0.166718,0.0503852
35.45,0.171024,0.0504648
35.5,0.175504,0.0505499
35.55,0.180153,0.0506403
35.6,0.184964,0.0507357
35.65,0.189932,0.0508356
35.7,0.195052,0.0509392
35.75,0.20032,0.0510455
35.8,0.205733,0.0511528
